date,forex_USDMYR=X,sp500,oil_price,inflation,EPU,forex_daily_returns
2022-05-06,4.347499847412109,1.3947852180307585,-0.5674224842484032,0.0,0.0,-0.1034096703709908
2022-05-09,4.367499828338623,-6.0854518624946285,-3.2037100632356763,0.0,0.0,0.46003408001080714
2022-05-10,4.38100004196167,-3.230181705260393,0.24578974498534745,0.0,0.0,0.3091062198892436
2022-05-11,4.379499912261963,5.964311167633074,-1.646320750393837,0.0,0.0,-0.034241718451011316
2022-05-12,4.374000072479248,0.3973116758895223,-0.12959645058717717,0.0,0.0,-0.12558145662513454
2022-05-13,4.390999794006348,4.108169907835513,2.386969542307149,0.0,0.0,0.3886538922132088
2022-05-16,4.395500183105469,3.357769170243774,-0.3946400929555671,0.0,0.0,0.10249121635723668
2022-05-17,4.395500183105469,-1.5761781702840816,2.0169632234863677,0.0,0.0,0.0
2022-05-18,4.382500171661377,-2.500004581709292,-4.03952607874526,0.0,0.0,-0.29575727226809345
2022-05-19,4.393499851226807,2.3907316672444834,-0.5833781800992588,0.0,0.0,0.25099096713234736
2022-05-20,4.400000095367432,0.9090137071412485,0.014614176965843662,0.0,0.0,0.14795139093517484
2022-05-23,4.386499881744385,-2.596487109638701,1.8555039930923556,0.0,0.0,-0.30682303023722435
2022-05-24,4.38700008392334,-0.47148813867470274,-0.8120797617175213,0.0,0.0,0.011403218794936443
2022-05-25,4.39300012588501,0.5101623440959102,0.9450764734207695,0.0,0.0,0.13676867670135984
2022-05-26,4.39300012588501,3.40795290894087,1.9883256167224195,0.0,0.0,0.0
2022-05-27,4.395500183105469,0.8589739577440358,2.474226295510973,0.0,0.0,0.05691001932204287
2022-05-30,4.376500129699707,0.0,0.0,0.0,0.0,-0.4322614631843358
2022-05-31,4.363800048828125,-0.34761582249043244,-0.6274368617659065,0.0,0.0,-0.2901880611266727
2022-06-01,4.375999927520752,0.51452339470337,-0.7482768681131846,0.0,0.0,0.2795700663668743
2022-06-02,4.380499839782715,1.3968424262639223,1.8431018038486124,0.0,0.0,0.10283163474622548
2022-06-03,4.388999938964844,1.7113031171366977,-1.6347313992415624,0.0,0.0,0.19404404732383806
2022-06-06,4.388500213623047,-0.3112667098787214,0.3137400778913113,0.0,0.0,-0.011385858937029703
2022-06-07,4.388999938964844,0.7679355798391407,0.9523393173235029,0.0,0.0,0.01138715546249447
2022-06-08,4.39300012588501,2.2611145343251815,-1.0793945785935621,0.0,0.0,0.09114119334232562
2022-06-09,4.391499996185303,-0.4913589969061327,-2.379869397635359,0.0,0.0,-0.034148182488491496
2022-06-10,4.390999794006348,-0.6913043803121521,-2.9110303335524668,0.0,0.0,-0.011390235213237787
2022-06-13,4.399499893188477,0.2154654348021534,-3.8768430665237275,0.0,0.0,0.19358004055776146
2022-06-14,4.415999889373779,-1.6538493301520352,-0.37736797459957394,0.0,0.0,0.3750425408771685
2022-06-15,4.420000076293945,-3.043809583194368,1.4592504858983224,0.0,0.0,0.09058394520777835
2022-06-16,4.410999774932861,1.9772776234240341,-3.2511951488163437,0.0,0.0,-0.2036267241115164
2022-06-17,4.400000095367432,-6.828811148376057,0.2200865698254617,0.0,0.0,-0.2493693068845615
2022-06-20,4.399499893188477,0.0,0.0,0.0,0.0,-0.011368231093489278
2022-06-21,4.39900016784668,0.9948922887682787,2.4477242280086964,0.0,0.0,-0.011358685167162097
2022-06-22,4.395999908447266,-4.0307266362120675,-0.13015723144006452,0.0,0.0,-0.06820321175123878
2022-06-23,4.4029998779296875,-1.8080852756353072,0.9532217409177868,0.0,0.0,0.15923497789367413
2022-06-24,4.4039998054504395,3.2128188466172602,3.056329358583576,0.0,0.0,0.022710141914017434
2022-06-27,4.399499893188477,1.8119279859469373,-0.2973071533776239,0.0,0.0,-0.10217784879086311
2022-06-28,4.401500225067139,1.9987245117330188,-2.0143036075892073,0.0,0.0,0.04546725598877366
2022-06-29,4.394499778747559,-1.771656513141484,-0.07117454091590814,0.0,0.0,-0.15904682407401616
